premise	hypothesis	label
I could not find such an explanation in a dictionary.	I looked it up in the dictionary and could not find an explanation.	0
I could not find such an explanation in a dictionary.	The dictionary I used is the one with the agreed definitions.	1
How does one do that?	Why do so many fail to do anything?	2
How does one do that?	How does a person commit such wickedness?	1
How does one do that?	How is it possible to do such a thing?	0
Well, it has sounds that are only known to be from the twentieth millennium, as in the original, but it leaves out the simple language used by the soldiers of the twentieth millennium.	As in the original text, it contains words that arose over the course of two millennia but no simple words came into being.	0
Well, it has sounds that are only known to be from the twentieth millennium, as in the original, but it leaves out the simple language used by the soldiers of the twentieth millennium.	It has simple language all the way back to the beginning of time.	2
Well, it has sounds that are only known to be from the twentieth millennium, as in the original, but it leaves out the simple language used by the soldiers of the twentieth millennium.	There are many simpler languages to come from behind the twenty thousand.	1
If anyone has a copy of the 1984 edition, he can simply send it back and purchase the cheaper and shorter edition.	The 1984 revival was the best of all.	1
If anyone has a copy of the 1984 edition, he can simply send it back and purchase the cheaper and shorter edition.	This publication is not for sale.	2
If anyone has a copy of the 1984 edition, he can simply send it back and purchase the cheaper and shorter edition.	The appendix is cheaper than the book.	0
Bernstein explains in the introduction.	Bernstein does not go into detail.	1
Bernstein explains in the introduction.	Bernstern simply explained it in conclusion.	2
Bernstein explains in the introduction.	Introduction with an explanation.	0
It is not recommended that these prisoners be detained, because it is difficult, even after 20 years in another culture for outsiders to understand what is interesting about them.	Even native speakers struggle to impress people.	1
It is not recommended that these prisoners be detained, because it is difficult, even after 20 years in another culture for outsiders to understand what is interesting about them.	Humor is one of the easiest things for outsiders to understand.	2
It is not recommended that these prisoners be detained, because it is difficult, even after 20 years in another culture for outsiders to understand what is interesting about them.	These teachings are difficult for an outsider to grasp.	0
Finally, one would like to watch out for the antithesis of a phrase with a completely different meaning.	Editors are often hired to catch this kind of error.	1
Finally, one would like to watch out for the antithesis of a phrase with a completely different meaning.	A long line is a way to make sure that the meaning of a proverb has been conveyed.	2
Finally, one would like to watch out for the antithesis of a phrase with a completely different meaning.	The meaning of a sentence can change in an effort to lengthen it.	0
Let the heat make your head dizzy.	Increasing the temperature in one's head is a good way to increase calmness and concentration.	2
Let the heat make your head dizzy.	Excessive use may occasionally cause dizziness.	0
Let the heat make your head dizzy.	Today the temperature was five degrees below what is normally expected during the season.	1
No other occupation has such a history of self-sacrifice.	Some sectors of the workforce see it all too clearly.	1
No other occupation has such a history of self-sacrifice.	Many workplaces have a history of low self-esteem	2
No other occupation has such a history of self-sacrifice.	No other occupation has a history of self-loathing.	0
Curiously, dwarves who have acquired nicknames from local legends use those nicknames in secret conversations, hair-raising speeches, and household gossip.	The papers are not glorious at all.	2
Curiously, dwarves who have acquired nicknames from local legends use those nicknames in secret conversations, hair-raising speeches, and household gossip.	Such papers do not have a good reputation.	0
Curiously, dwarves who have acquired nicknames from local legends use those nicknames in secret conversations, hair-raising speeches, and household gossip.	The papers contain mostly gossip from women.	1
If Lite and light are only used to describe the structure of the beer (i.e.	Alcohol may be labeled Lite or light.	0
If Lite and light are only used to describe the structure of the beer (i.e.	Lite and light are terms used to describe wines and whiskeys.	2
If Lite and light are only used to describe the structure of the beer (i.e.	Lite alcohol has a relatively low alcohol content	1
This name was used more often even when it was inadequate and needed to be changed.	People have a hard time finding another name.	1
This name was used more often even when it was inadequate and needed to be changed.	This name is widely used.	0
This name was used more often even when it was inadequate and needed to be changed.	The name should be used more often.	2
In addition to this, we have another unfortunate fact that good writing often stimulates memory, exacerbating the problem.	People tend to overemphasize the negative.	2
In addition to this, we have another unfortunate fact that good writing often stimulates memory, exacerbating the problem.	Well-written material is often easier to remember than poorly written material.	0
In addition to this, we have another unfortunate fact that good writing often stimulates memory, exacerbating the problem.	Good books are expensive to produce in quantity.	1
Stunned and shocked, the British showed their respect by capitalizing the word.	The British were disrespectful.	2
Stunned and shocked, the British showed their respect by capitalizing the word.	The British took over the world's economy.	1
Stunned and shocked, the British showed their respect by capitalizing the word.	The British are the biggest sellers in the world.	0
Sometimes it is the most elusive too.	It can be difficult to discern at times.	0
Sometimes it is the most elusive too.	It makes little noise thanks to a well-wrapped engine.	1
Sometimes it is the most elusive too.	It has always been easier to see from a distance.	2
As a matter of fact, there are more familiar varieties of English in Britain than in North America, and anyone who has spent some time listening to them knows that some are mutually intelligible.	Britain has more distinctive forms of English than do those of North America.	0
As a matter of fact, there are more familiar varieties of English in Britain than in North America, and anyone who has spent some time listening to them knows that some are mutually intelligible.	The North American and British dialects are closely related, and many people find it difficult to distinguish them.	2
As a matter of fact, there are more familiar varieties of English in Britain than in North America, and anyone who has spent some time listening to them knows that some are mutually intelligible.	People from North America have difficulty hearing half the varieties of British dialects.	1
A Tennessean told us he used the expression dog weather for 'hot dry outside', possibly derived from the expression dog days referring to the dry outdoors in August.	As our host put it, dog weather was used to balance the seasonal rains with the winds.	2
A Tennessean told us he used the expression dog weather for 'hot dry outside', possibly derived from the expression dog days referring to the dry outdoors in August.	June and July are also very hot in Tennessee.	1
A Tennessean told us he used the expression dog weather for 'hot dry outside', possibly derived from the expression dog days referring to the dry outdoors in August.	It is hot and dry most days in August.	0
